-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	0
-100	-95	185
-95	-90	326
-90	-85	447
-85	-80	646
-80	-75	751
-75	-70	900
-70	-65	1044
-65	-60	1127
-60	-55	1174
-55	-50	1263
-50	-45	1283
-45	-40	1412
-40	-35	1442
-35	-30	1390
-30	-25	1377
-25	-20	1464
-20	-15	1470
-15	-10	1481
-10	-5	1439
-5	0	1491
0	5	1373
5	10	1464
10	15	1462
15	20	1547
20	25	1490
25	30	1482
30	35	1490
35	40	1445
40	45	1494
45	50	1481
50	55	1517
55	60	1430
60	65	1484
65	70	1501
70	75	1614
75	80	1489
80	85	1501
85	90	1502
90	95	1479
95	100	1522
100	105	1468
105	110	1611
110	115	1629
115	120	1585
120	125	1488
125	130	1607
130	135	1530
135	140	1648
140	145	1588
145	150	1647
150	155	1690
155	160	1629
160	165	1583
165	170	1659
170	175	1607
175	180	1600
180	185	1541
185	190	1584
190	195	1526
195	200	1528
200	205	1547
205	210	1504
210	215	1488
215	220	1458
220	225	1466
225	230	1357
230	235	1411
235	240	1365
240	245	1342
245	250	1255
