-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	0
-100	-95	388
-95	-90	595
-90	-85	846
-85	-80	1094
-80	-75	1266
-75	-70	1475
-70	-65	1696
-65	-60	1956
-60	-55	2049
-55	-50	2158
-50	-45	2232
-45	-40	2222
-40	-35	2323
-35	-30	2247
-30	-25	2351
-25	-20	2270
-20	-15	2330
-15	-10	2352
-10	-5	2287
-5	0	2281
0	5	2077
5	10	2090
10	15	2022
15	20	1971
20	25	1871
25	30	1841
30	35	1815
35	40	1741
40	45	1721
45	50	1591
50	55	1596
55	60	1524
60	65	1421
65	70	1361
70	75	1357
75	80	1332
80	85	1220
85	90	1162
90	95	1101
95	100	1070
100	105	949
105	110	969
110	115	896
115	120	954
120	125	872
125	130	814
130	135	792
135	140	834
140	145	756
145	150	731
150	155	683
155	160	681
160	165	599
165	170	574
170	175	615
175	180	625
180	185	588
185	190	509
190	195	488
195	200	459
200	205	438
205	210	412
210	215	443
215	220	426
220	225	444
225	230	395
230	235	364
235	240	330
240	245	313
245	250	314
