#Transcript position	Transcript coverage profile
0.0	12.247918255709974
1.0	300.169852615409
2.0	546.7623346098261
3.0	636.7499679951427
4.0	635.1060310341178
5.0	648.5062709375609
6.0	603.2511485388567
7.0	703.5587443178996
8.0	726.1261243495123
9.0	900.5055498279621
10.0	877.0844968046279
11.0	976.4564730077313
12.0	1071.2183395754348
13.0	1209.7774718702985
14.0	1328.874127030971
15.0	1396.0895049281992
16.0	1485.4294772613061
17.0	1474.3684960065032
18.0	1466.7300994966797
19.0	1462.3067625987078
20.0	1590.8370586955534
21.0	1528.3666386008222
22.0	1462.816811871435
23.0	1602.5191604663412
24.0	1641.6378155502318
25.0	1583.6978986329236
26.0	1536.9173134910018
27.0	1437.3118580283692
28.0	1399.7349883801476
29.0	1374.921174799538
30.0	1353.7579815720308
31.0	1366.379039167546
32.0	1337.2649668298423
33.0	1313.2892039081332
34.0	1270.7229420511026
35.0	1251.7679134636578
36.0	1292.7960650367934
37.0	1312.914000402507
38.0	1290.3479701292827
39.0	1282.8593925780544
40.0	1258.6551939754975
41.0	1206.841590858054
42.0	1195.4032457686737
43.0	1082.7582448516519
44.0	1051.251330543178
45.0	1021.8563422457557
46.0	1073.021121124506
47.0	1064.6842267516574
48.0	1110.8761045478873
49.0	1040.2857554405298
50.0	975.8375808340346
51.0	944.5981947214377
52.0	883.9736711533036
53.0	842.2161885941345
54.0	782.2729224056593
55.0	721.2571967229628
56.0	693.764944307133
57.0	684.3008411684235
58.0	703.1957132159876
59.0	704.9086331939202
60.0	690.7254453756258
61.0	669.1388951496917
62.0	622.6186459740381
63.0	557.5120461106703
64.0	519.4843717596891
65.0	505.4236387666912
66.0	483.5702142420649
67.0	462.8312560985842
68.0	462.28654525397127
69.0	471.91295854840433
70.0	450.66706906981153
71.0	400.85939057690337
72.0	359.10445890803237
73.0	317.5548313907954
74.0	258.9383957253629
75.0	238.51653667607297
76.0	229.01437133280555
77.0	208.78510748196754
78.0	230.7077495197349
79.0	257.02828359881045
80.0	257.69602120440567
81.0	256.15738488893754
82.0	251.29442225065148
83.0	235.07322822547232
84.0	193.60527443319987
85.0	179.34098238767453
86.0	157.38421045222947
87.0	150.2157838130166
88.0	140.0645015631643
89.0	118.66194666477506
90.0	84.64855538540817
91.0	65.32263292370332
92.0	49.62413044562429
93.0	49.942086742072334
94.0	53.85060132083132
95.0	55.83208261025695
96.0	19.551696064454077
97.0	3.1477596500417007
98.0	1.7423987442875666
99.0	0.0
