#Transcript position	Transcript coverage profile
0.0	2.104768748284678
1.0	85.41188971071558
2.0	183.87208592338365
3.0	234.55312080878468
4.0	275.00357736167956
5.0	352.27775362769364
6.0	419.7261671833942
7.0	527.3311077970992
8.0	563.5794134581502
9.0	689.8963127138552
10.0	655.8740764401075
11.0	691.9960502910827
12.0	745.2402239083312
13.0	750.5385322565462
14.0	752.8034243024998
15.0	770.6992188972068
16.0	812.0894306206443
17.0	801.5346985625763
18.0	784.4713538254358
19.0	835.4728530391808
20.0	906.7292143544068
21.0	917.8880574223319
22.0	860.7717442928949
23.0	871.5060562042422
24.0	895.5333893187433
25.0	916.1474475014678
26.0	928.1811732286338
27.0	896.3829145584994
28.0	881.4813550911255
29.0	880.7256777122142
30.0	895.9108046245454
31.0	908.7102740262607
32.0	902.8474649389899
33.0	895.4717517379855
34.0	867.6628744267111
35.0	854.4478832740723
36.0	917.9527991111548
37.0	973.7184902222439
38.0	1008.850394091046
39.0	1007.5949765931412
40.0	992.1361356284557
41.0	975.966480073242
42.0	968.6002114857228
43.0	947.5695624312585
44.0	993.6790534995191
45.0	1053.4295621679962
46.0	1155.7332528251327
47.0	1201.967107691246
48.0	1261.3249581924915
49.0	1263.7825352492316
50.0	1268.6304447801315
51.0	1221.711001787513
52.0	1197.7756378776535
53.0	1063.9197024283458
54.0	1013.4309343715862
55.0	885.8923392778428
56.0	934.798308462174
57.0	998.4354806831437
58.0	1094.3623501847376
59.0	1187.7798040671516
60.0	1309.0293460063165
61.0	1311.612297449742
62.0	1359.6954976778497
63.0	1301.8804974398195
64.0	1160.5727028326492
65.0	1035.3886152868886
66.0	905.8312893094063
67.0	758.6647108898292
68.0	747.5388212584915
69.0	789.8651748718862
70.0	760.4398795797146
71.0	822.6271302466633
72.0	883.4576010903832
73.0	851.2706147482647
74.0	783.8733827751882
75.0	774.973565635595
76.0	714.4966574759623
77.0	677.4572688477028
78.0	680.1393502315882
79.0	674.4638925211536
80.0	620.7154615540546
81.0	654.8165311043987
82.0	647.4617770291969
83.0	615.9981485995112
84.0	682.3948928628444
85.0	717.0433223024844
86.0	659.4314437912969
87.0	630.2750817211743
88.0	603.5267040462713
89.0	500.253918815863
90.0	368.83291385087284
91.0	340.070376325286
92.0	246.43851852504466
93.0	232.67504644633797
94.0	224.92468146648548
95.0	211.40007007655245
96.0	73.45840336395322
97.0	10.524264667362424
98.0	5.138033866685383
99.0	0.0
