## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT CONTROL_REP1.sorted.bam --OUTPUT CONTROL_REP1.markdup.sorted.bam --METRICS_FILE CONTROL_REP1.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jun 12 15:49:16 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	187755	744	0	0	65836	55	0.350648	200671

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000176	88129	0	88150
2.0	1.392582	20971	55	20962
3.0	1.546537	6639	0	6634
4.0	1.606939	2653	0	2650
5.0	1.630637	1347	0	1346
6.0	1.639934	768	0	768
7.0	1.643582	401	0	399
8.0	1.645013	262	0	262
9.0	1.645575	176	0	176
10.0	1.645795	125	0	124
11.0	1.645881	91	0	91
12.0	1.645915	58	0	58
13.0	1.645928	46	0	46
14.0	1.645934	35	0	35
15.0	1.645936	26	0	26
16.0	1.645937	20	0	20
17.0	1.645937	18	0	19
18.0	1.645937	13	0	12
19.0	1.645937	19	0	19
20.0	1.645937	9	0	9
21.0	1.645937	15	0	15
22.0	1.645937	8	0	8
23.0	1.645937	10	0	10
24.0	1.645937	7	0	7
25.0	1.645937	8	0	8
26.0	1.645937	6	0	6
27.0	1.645937	9	0	9
28.0	1.645937	4	0	4
29.0	1.645937	2	0	3
30.0	1.645937	3	0	2
31.0	1.645937	4	0	4
32.0	1.645937	3	0	3
33.0	1.645937	2	0	2
34.0	1.645937	1	0	1
35.0	1.645937	2	0	2
36.0	1.645937	2	0	2
37.0	1.645937	4	0	4
38.0	1.645937	1	0	1
39.0	1.645937	2	0	2
40.0	1.645937	1	0	1
41.0	1.645937	0	0	0
42.0	1.645937	1	0	1
43.0	1.645937	2	0	2
44.0	1.645937	1	0	1
45.0	1.645937	1	0	1
46.0	1.645937	1	0	1
47.0	1.645937	2	0	2
48.0	1.645937	1	0	1
49.0	1.645937	1	0	1
50.0	1.645937	2	0	2
51.0	1.645937	1	0	1
52.0	1.645937	0	0	0
53.0	1.645937	1	0	1
54.0	1.645937	1	0	1
55.0	1.645937	0	0	0
56.0	1.645937	0	0	0
57.0	1.645937	1	0	1
58.0	1.645937	0	0	0
59.0	1.645937	1	0	1
60.0	1.645937	0	0	0
61.0	1.645937	0	0	0
62.0	1.645937	0	0	0
63.0	1.645937	0	0	0
64.0	1.645937	0	0	0
65.0	1.645937	0	0	0
66.0	1.645937	0	0	0
67.0	1.645937	0	0	0
68.0	1.645937	0	0	0
69.0	1.645937	0	0	0
70.0	1.645937	0	0	0
71.0	1.645937	0	0	0
72.0	1.645937	0	0	0
73.0	1.645937	1	0	1
74.0	1.645937	0	0	0
75.0	1.645937	0	0	0
76.0	1.645937	0	0	0
77.0	1.645937	0	0	0
78.0	1.645937	0	0	0
79.0	1.645937	0	0	0
80.0	1.645937	0	0	0
81.0	1.645937	0	0	0
82.0	1.645937	0	0	0
83.0	1.645937	0	0	0
84.0	1.645937	1	0	1
85.0	1.645937	0	0	0
86.0	1.645937	0	0	0
87.0	1.645937	0	0	0
88.0	1.645937	0	0	0
89.0	1.645937	0	0	0
90.0	1.645937	0	0	0
91.0	1.645937	0	0	0
92.0	1.645937	0	0	0
93.0	1.645937	0	0	0
94.0	1.645937	0	0	0
95.0	1.645937	0	0	0
96.0	1.645937	0	0	0
97.0	1.645937	0	0	0
98.0	1.645937	0	0	0
99.0	1.645937	0	0	0
100.0	1.645937	0	0	0

