## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT CONTROL_REP3.sorted.bam --OUTPUT CONTROL_REP3.markdup.sorted.bam --METRICS_FILE CONTROL_REP3.markdup.sorted.MarkDuplicates.metrics.txt --REMOVE_DUPLICATES false --ASSUME_SORTED true --TMP_DIR tmp --VALIDATION_STRINGENCY LENIENT --REFERENCE_SEQUENCE genome.fa --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jun 12 15:49:34 GMT 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	209133	1344	0	0	79911	61	0.382106	198354

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000164	89839	0	89867
2.0	1.348643	23207	61	23196
3.0	1.47006	8042	0	8027
4.0	1.512365	3439	0	3443
5.0	1.527104	1723	0	1719
6.0	1.53224	980	0	978
7.0	1.534029	590	0	592
8.0	1.534653	382	0	380
9.0	1.53487	281	0	282
10.0	1.534946	169	0	169
11.0	1.534972	127	0	127
12.0	1.534981	98	0	97
13.0	1.534985	58	0	58
14.0	1.534986	51	0	51
15.0	1.534986	46	0	46
16.0	1.534986	32	0	32
17.0	1.534986	21	0	21
18.0	1.534986	22	0	22
19.0	1.534986	17	0	17
20.0	1.534986	19	0	19
21.0	1.534986	4	0	5
22.0	1.534986	14	0	13
23.0	1.534986	8	0	8
24.0	1.534986	5	0	5
25.0	1.534986	4	0	4
26.0	1.534986	2	0	2
27.0	1.534986	2	0	2
28.0	1.534986	3	0	3
29.0	1.534986	2	0	2
30.0	1.534986	4	0	4
31.0	1.534986	6	0	6
32.0	1.534986	1	0	1
33.0	1.534986	4	0	4
34.0	1.534986	1	0	1
35.0	1.534986	0	0	0
36.0	1.534986	2	0	2
37.0	1.534986	2	0	2
38.0	1.534986	0	0	0
39.0	1.534986	2	0	2
40.0	1.534986	1	0	1
41.0	1.534986	1	0	1
42.0	1.534986	2	0	2
43.0	1.534986	1	0	1
44.0	1.534986	1	0	1
45.0	1.534986	0	0	0
46.0	1.534986	0	0	0
47.0	1.534986	1	0	1
48.0	1.534986	1	0	1
49.0	1.534986	1	0	1
50.0	1.534986	0	0	0
51.0	1.534986	1	0	1
52.0	1.534986	0	0	0
53.0	1.534986	0	0	0
54.0	1.534986	1	0	1
55.0	1.534986	0	0	0
56.0	1.534986	0	0	0
57.0	1.534986	0	0	0
58.0	1.534986	0	0	0
59.0	1.534986	1	0	1
60.0	1.534986	0	0	0
61.0	1.534986	0	0	0
62.0	1.534986	0	0	0
63.0	1.534986	0	0	0
64.0	1.534986	0	0	0
65.0	1.534986	0	0	0
66.0	1.534986	0	0	0
67.0	1.534986	1	0	1
68.0	1.534986	0	0	0
69.0	1.534986	0	0	0
70.0	1.534986	0	0	0
71.0	1.534986	0	0	0
72.0	1.534986	0	0	0
73.0	1.534986	0	0	0
74.0	1.534986	0	0	0
75.0	1.534986	0	0	0
76.0	1.534986	0	0	0
77.0	1.534986	0	0	0
78.0	1.534986	0	0	0
79.0	1.534986	0	0	0
80.0	1.534986	0	0	0
81.0	1.534986	0	0	0
82.0	1.534986	0	0	0
83.0	1.534986	0	0	0
84.0	1.534986	0	0	0
85.0	1.534986	0	0	0
86.0	1.534986	0	0	0
87.0	1.534986	0	0	0
88.0	1.534986	0	0	0
89.0	1.534986	0	0	0
90.0	1.534986	0	0	0
91.0	1.534986	0	0	0
92.0	1.534986	0	0	0
93.0	1.534986	0	0	0
94.0	1.534986	0	0	0
95.0	1.534986	0	0	0
96.0	1.534986	0	0	0
97.0	1.534986	0	0	0
98.0	1.534986	0	0	0
99.0	1.534986	0	0	0
100.0	1.534986	0	0	0

