X	5237837	5237898	1	1	1	0	1	6
X	5870043	5903832	1	1	1	1	52	12
X	5870060	5903308	2	2	1	1	0	14
X	5900969	5904255	2	2	1	0	1	13
X	5901014	5901987	1	1	1	2	0	35
X	5901014	5902646	1	1	1	4	0	21
X	5901014	5902689	1	1	1	3948	145	49
X	5901549	5902689	1	1	1	3	143	33
X	5902097	5902646	1	1	1	20	1	41
X	5902097	5902689	1	1	1	22749	10	49
X	5902154	5902689	1	1	1	5	0	42
X	5902448	5902689	1	1	1	1	0	26
X	5902545	5902689	1	1	1	2	0	36
X	5902872	5903021	1	3	1	790	19	31
X	5903120	5903420	2	2	1	1	1	47
X	5903245	5903339	1	1	1	454	18	13
X	5905595	5905745	1	1	1	3	0	49
X	20695393	20695810	1	1	1	13	0	45
X	20695402	20695686	1	1	1	1	3	46
X	20695402	20695810	1	1	1	94	3	48
