X	5708306	5903273	1	1	1	3	0	12
X	5800242	5903423	1	1	1	11	0	12
X	5876011	5903896	1	1	1	1	132	14
X	5901014	5901987	1	1	1	2	0	46
X	5901014	5902689	1	1	1	4103	2	49
X	5902050	5902904	1	1	1	1	0	28
X	5902097	5902689	1	1	1	20151	7	49
X	5902295	5902689	1	1	1	5	0	48
X	5902545	5902689	1	1	1	2	0	49
X	5903022	5903285	1	3	1	2024	39	34
X	5903078	5903530	2	2	1	770	86	42
X	5903078	5903671	2	2	1	362	91	22
X	5903346	5912494	2	2	1	8	160	12
X	5903534	5903611	2	2	1	1533	29	20
X	6103273	6103326	1	1	1	0	1	2
X	6131959	6132191	2	2	1	0	1	1
X	20695393	20695810	1	1	1	23	0	43
X	20695402	20695810	1	1	1	186	0	49
