X	5876008	5903777	1	1	1	1	96	12
X	5900424	5902689	1	1	1	1	0	29
X	5900766	5902689	1	1	1	1	7	22
X	5901014	5901987	1	1	1	3	0	33
X	5901014	5902646	1	1	1	2	0	31
X	5901014	5902689	1	1	1	2647	0	49
X	5902097	5902220	1	1	1	1	0	28
X	5902097	5902646	1	1	1	8	0	48
X	5902097	5902689	1	1	1	9854	14	49
X	5902154	5902689	1	1	1	1	0	28
X	5902295	5902689	1	1	1	1	0	27
X	5902422	5902689	1	1	1	1	0	34
X	5902545	5902689	1	1	1	2	0	49
X	5902755	5902883	1	3	1	1110	2	45
X	5904462	5921640	1	5	1	602	170	15
X	5905493	5905692	2	2	1	1	0	24
X	5905521	5905745	1	1	1	3	0	25
X	5905595	5905745	1	1	1	4	0	31
X	20695402	20695810	1	1	1	23	0	47
